AGE,SEX,POP,RACE,us
76,0,26654,9,1
76,0,96379,10,1
76,0,4708,11,1
77,0,1911261,0,1
77,0,1623766,1,1
77,0,168940,2,1
77,0,13164,3,1
77,0,86626,4,1
77,0,2223,5,1
77,0,16542,6,1
77,0,1637565,7,1
77,0,173079,8,1
77,0,23309,9,1
77,0,91237,10,1
77,0,4110,11,1
78,0,1720817,0,1
78,0,1457228,1,1
78,0,155369,2,1
78,0,11971,3,1
78,0,79206,4,1
78,0,1997,5,1
78,0,15046,6,1
78,0,1469803,7,1
78,0,159128,8,1
78,0,21081,9,1
78,0,83529,10,1
78,0,3799,11,1
79,0,1599909,0,1
79,0,1349718,1,1
79,0,146946,2,1
79,0,11244,3,1
79,0,75952,4,1
79,0,1996,5,1
79,0,14053,6,1
79,0,1361449,7,1
79,0,150505,8,1
79,0,19612,9,1
79,0,80051,10,1
79,0,3643,11,1
80,0,1475278,0,1
80,0,1253964,1,1
80,0,129854,2,1
80,0,9728,3,1
80,0,67573,4,1
80,0,1735,5,1
80,0,12424,6,1
80,0,1264384,7,1
80,0,132935,8,1
80,0,17133,9,1
80,0,71194,10,1
80,0,3239,11,1
81,0,1381641,0,1
81,0,1175730,1,1
81,0,120924,2,1
81,0,9130,3,1
81,0,62871,4,1
81,0,1586,5,1
81,0,11400,6,1
81,0,1185261,7,1
81,0,123827,8,1
81,0,15843,9,1
81,0,66204,10,1
81,0,2914,11,1
82,0,1241341,0,1
82,0,1055454,1,1
82,0,109028,2,1
82,0,7974,3,1
82,0,57133,4,1
82,0,1438,5,1
82,0,10314,6,1
82,0,1064179,7,1
82,0,111615,8,1
82,0,13974,9,1
82,0,60214,10,1
82,0,2644,11,1
83,0,1151190,0,1
83,0,978924,1,1
83,0,102267,2,1
83,0,7313,3,1
83,0,52144,4,1
83,0,1240,5,1
83,0,9302,6,1
83,0,986681,7,1
83,0,104645,8,1
83,0,12746,9,1
83,0,54913,10,1
83,0,2320,11,1
84,0,1067757,0,1
84,0,910844,1,1
84,0,93158,2,1
84,0,6667,3,1
84,0,47409,4,1
84,0,1136,5,1
84,0,8543,6,1
84,0,917977,7,1
84,0,95268,8,1
84,0,11618,9,1
84,0,49957,10,1
84,0,2187,11,1
85,0,922467,0,1
85,0,786506,1,1
85,0,80566,2,1
85,0,5500,3,1
85,0,41434,4,1
85,0,1028,5,1
85,0,7433,6,1
85,0,792798,7,1
85,0,82428,8,1
85,0,9723,9,1
85,0,43756,10,1
85,0,1906,11,1
86,0,856646,0,1
86,0,732666,1,1
86,0,72953,2,1
86,0,5048,3,1
86,0,38480,4,1
86,0,876,5,1
86,0,6623,6,1
86,0,738241,7,1
86,0,74593,8,1
86,0,8816,9,1
86,0,40528,10,1
86,0,1688,11,1
87,0,778923,0,1
87,0,670820,1,1
87,0,63323,2,1
87,0,4393,3,1
87,0,33639,4,1
87,0,776,5,1
87,0,5972,6,1
87,0,675865,7,1
87,0,64833,8,1
87,0,7767,9,1
87,0,35440,10,1
87,0,1528,11,1
88,0,703078,0,1
88,0,608569,1,1
88,0,54783,2,1
88,0,3742,3,1
88,0,30076,4,1
88,0,694,5,1
88,0,5214,6,1
88,0,612954,7,1
88,0,56121,8,1
88,0,6699,9,1
88,0,31676,10,1
88,0,1329,11,1
89,0,635982,0,1
89,0,549271,1,1
89,0,50053,2,1
89,0,3480,3,1
89,0,27848,4,1
89,0,642,5,1
89,0,4688,6,1
89,0,553215,7,1
89,0,51239,8,1
89,0,6155,9,1
89,0,29264,10,1
89,0,1204,11,1
90,0,536447,0,1
90,0,464986,1,1
90,0,41407,2,1
90,0,2666,3,1
90,0,22911,4,1
90,0,532,5,1
90,0,3945,6,1
90,0,468281,7,1
90,0,42443,8,1
90,0,4953,9,1
90,0,24049,10,1
90,0,1021,11,1
91,0,467172,0,1
91,0,406066,1,1
91,0,35220,2,1
91,0,2342,3,1
91,0,19729,4,1
91,0,408,5,1
91,0,3407,6,1
91,0,408924,7,1
91,0,36074,8,1
91,0,4263,9,1
91,0,20763,10,1
91,0,861,11,1
92,0,394067,0,1
92,0,342383,1,1
92,0,29761,2,1
92,0,1967,3,1
92,0,16766,4,1
92,0,324,5,1
92,0,2866,6,1
92,0,344809,7,1
92,0,30503,8,1
92,0,3606,9,1
92,0,17602,10,1
92,0,661,11,1
93,0,320785,0,1
93,0,278123,1,1
93,0,24563,2,1
93,0,1545,3,1
93,0,13930,4,1
93,0,287,5,1
93,0,2337,6,1
93,0,280083,7,1
93,0,25191,8,1
93,0,2868,9,1
93,0,14604,10,1
93,0,572,11,1
94,0,264277,0,1
94,0,229002,1,1
94,0,19963,2,1
94,0,1274,3,1
94,0,11808,4,1
94,0,234,5,1
94,0,1996,6,1
94,0,230674,7,1
94,0,20543,8,1
94,0,2429,9,1
94,0,12342,10,1
94,0,454,11,1
95,0,207086,0,1
95,0,179636,1,1
95,0,15349,2,1
95,0,974,3,1
95,0,9485,4,1
95,0,189,5,1
95,0,1453,6,1
95,0,180866,7,1
95,0,15753,8,1
95,0,1802,9,1
95,0,9910,10,1
95,0,359,11,1
96,0,157463,0,1
96,0,135879,1,1
96,0,11942,2,1
96,0,729,3,1
96,0,7610,4,1
96,0,134,5,1
96,0,1169,6,1
96,0,136840,7,1
96,0,12272,8,1
96,0,1391,9,1
96,0,7947,10,1
96,0,287,11,1
97,0,116969,0,1
97,0,100809,1,1
97,0,8871,2,1
97,0,533,3,1
97,0,5745,4,1
97,0,116,5,1
97,0,895,6,1
97,0,101552,7,1
97,0,9141,8,1
97,0,1030,9,1
97,0,6005,10,1
97,0,235,11,1
98,0,86150,0,1
98,0,74125,1,1
98,0,6487,2,1
98,0,399,3,1
98,0,4369,4,1
98,0,83,5,1
98,0,687,6,1
98,0,74691,7,1
98,0,6698,8,1
98,0,784,9,1
98,0,4566,10,1
98,0,175,11,1
99,0,57124,0,1
99,0,48261,1,1
99,0,4778,2,1
99,0,269,3,1
99,0,3288,4,1
99,0,58,5,1
99,0,470,6,1
99,0,48637,7,1
99,0,4932,8,1
99,0,527,9,1
99,0,3425,10,1
99,0,127,11,1
100,0,100322,0,1
100,0,82753,1,1
100,0,9101,2,1
100,0,520,3,1
100,0,6958,4,1
100,0,124,5,1
100,0,866,6,1
100,0,83449,7,1
100,0,9410,8,1
100,0,991,9,1
100,0,7194,10,1
100,0,249,11,1
999,0,328239523,0,1
999,0,250522190,1,1
999,0,44075086,2,1
999,0,4188092,3,1
999,0,19504862,4,1
999,0,806937,5,1
999,0,9142356,6,1
999,0,258646488,7,1
999,0,48221139,8,1
999,0,6945552,9,1
999,0,22861985,10,1
999,0,1612424,11,1
0,1,1935117,0,1
0,1,1393789,1,1
0,1,290934,2,1
0,1,31183,3,1
0,1,95541,4,1
0,1,5698,5,1
0,1,117972,6,1
0,1,1502546,7,1
0,1,355018,8,1
0,1,54572,9,1
0,1,138643,10,1
0,1,13954,11,1
1,1,1958585,0,1
1,1,1411377,1,1
1,1,293048,2,1
1,1,31406,3,1
1,1,99656,4,1
1,1,5797,5,1
1,1,117301,6,1
1,1,1519419,7,1
1,1,356256,8,1
